ReadingScores,PupilSpending,ClassSize
0.33,2,1
0.31,2,2
0.68,1,2
0.28,2,2
0.33,2,1
0.27,2,1
0.32,2,1
0.61,2,1
0.9,1,2
0.55,1,2
0.74,1,2
0.9,1,2
0.71,1,2
0.42,2,1
0.79,1,2
0.68,1,2
0.57,1,1
0.9,1,2
0.9,2,2
0.79,1,2
0.72,1,2
0.88,1,2
0.33,2,1
0.79,1,2
0.87,1,2
0.88,1,1
0.7,1,1
0.47,1,2
0.8,2,1
0.26,1,1
0.59,2,2
0.89,1,2
0.29,2,1
0.25,2,1
0.43,1,2
0.42,2,2
0.31,2,1
0.85,1,2
0.76,1,2
0.38,1,1
0.34,2,2
0.37,2,1
0.4,2,1
0.73,1,2
0.9,1,2
0.27,2,1
0.31,2,1
0.9,2,1
0.2,2,1
0.61,1,2
0.37,2,2
0.9,1,2
0.26,2,1
0.39,1,2
0.36,2,1
0.27,2,1
0.28,1,2
0.65,1,2
0.31,2,1
0.49,1,2
0.22,2,2
0.28,2,1
0.28,2,2
0.6,1,1
0.35,2,1
0.48,2,1
0.24,1,2
0.26,2,1
0.32,2,1
0.3,2,2
0.31,2,2
0.26,2,1
0.18,2,1
0.82,1,2
0.28,1,1
0.24,2,1
0.48,1,1
0.32,2,2
0.24,2,2
0.17,2,1
0.64,1,2
0.46,2,2
0.25,2,1
0.67,2,1
0.56,1,2
0.53,1,2
0.44,1,2
0.32,2,1
0.29,2,1
0.31,2,2
0.15,2,1
0.36,1,1
0.36,1,2
0.15,2,2
0.59,1,2
0.36,2,2
0.26,2,2
0.26,2,2
0.27,1,2
0.21,2,1
0.35,1,2
0.48,1,2
0.22,2,1
0.24,2,1
0.27,2,1
0.35,2,2
0.43,1,1
0.25,1,1
0.49,1,2
0.66,1,2
0.22,2,1
0.36,2,1
0.3,2,2
0.27,1,1
0.18,2,2
0.24,2,2
0.4,2,1
0.38,2,1
0.48,2,1
0.21,2,1
0.36,2,1
0.2,2,1
0.33,2,1
0.34,2,1
0.36,2,2
0.31,2,1
0.2,2,1
0.2,2,1
0.52,1,2
0.33,1,1
0.39,1,2
0.16,2,1
0.23,2,1
0.31,1,1
0.26,1,1
0.29,1,1
0.36,2,1
0.21,2,1
0.25,2,1
0.37,1,1
0.22,1,1
0.38,2,1
0.2,2,1
0.21,2,1
0.15,2,1
0.3,2,2
0.41,1,1
0.37,1,1
0.45,1,1
0.57,1,2
0.39,2,1
0.51,1,2
0.32,1,2
0.33,2,1
0.34,1,1
0.23,2,1
0.4,1,2
0.51,1,1
0.61,1,2
0.2,2,1
0.38,1,2
0.58,2,2
0.41,1,1
0.35,1,2
0.23,2,1
0.31,1,2
0.39,1,2
0.39,2,1
0.44,2,2
0.31,2,2
0.17,1,2
0.27,2,2
0.46,1,2
0.29,2,1
0.21,2,1
0.3,2,2
0.21,2,1
0.59,1,2
0.48,1,2
0.4,1,2
0.44,1,2
0.29,2,1
0.55,1,1
0.57,2,2
0.48,1,2
0.46,1,2
0.23,2,1
0.36,1,2
0.27,2,1
0.25,2,1
0.38,2,2
0.41,2,1
0.5,1,2
0.35,2,1
0.31,2,1
0.37,2,2
0.31,2,1
0.2,2,1
0.21,2,1
0.31,2,1
0.25,2,1
0.33,2,1
0.34,1,2
0.22,2,1
0.28,1,1
0.31,1,1
0.28,2,1
0.29,2,1
0.23,2,1
0.38,2,2
0.26,2,1
0.25,2,1
0.2,1,1
0.23,2,1
0.2,2,1
0.8,1,2
0.32,2,1
0.24,2,1
0.28,2,1
0.5,1,2
0.21,2,1
0.56,2,1
0.28,2,1
0.78,1,2
0.44,1,1
0.29,2,1
0.27,2,1
0.22,2,1
0.48,2,2
0.42,2,1
0.28,2,1
0.57,1,2
0.65,1,2
0.3,2,1
0.29,1,1
0.46,1,1
0.83,1,2
0.5,2,2
0.25,2,2
0.54,2,1
0.74,1,2
0.84,2,2
0.36,2,1
0.58,2,1
0.61,1,1
0.41,1,2
0.29,2,2
0.31,2,1
0.32,2,1
0.24,2,1
0.37,2,1
0.34,1,1
0.42,1,2
0.49,2,1
0.32,1,2
0.54,1,2
0.21,2,1
0.53,1,2
0.22,2,1
0.27,2,1
0.34,2,1
0.37,1,1
0.4,1,2
0.28,2,1
0.31,2,1
0.63,1,2
0.9,1,2
0.29,2,1
0.52,1,2
0.22,2,1
0.33,2,1
0.73,1,2
0.35,1,1
0.37,2,2
0.22,2,1
0.26,2,1
0.23,2,1
0.29,2,1
0.35,1,1
0.2,2,1
0.3,1,1
0.32,2,1
0.39,1,2
0.42,1,2
0.31,2,1
0.51,2,2
0.21,2,1
0.48,2,2
0.37,2,2
0.21,2,2
0.25,2,1
0.58,1,2
0.44,1,2
0.66,1,2
0.53,2,2
0.6,2,2
0.9,1,2
0.43,2,2
0.7,1,2
0.42,1,2
0.46,1,1
0.49,1,2
0.69,1,2
0.65,1,2
0.43,1,1
0.89,1,2
0.56,1,2
0.39,2,1
0.86,1,2
0.45,1,2
0.51,2,1
0.5,2,2
0.38,2,2
0.56,2,2
0.58,1,1
0.37,2,2
0.88,1,2
0.51,1,2
0.23,2,1
0.42,1,2
0.49,1,1
0.45,1,1
0.35,2,1
0.43,1,1
0.38,2,1
0.62,1,2
0.63,1,2
0.65,1,2
0.42,1,1
0.58,1,2
0.47,2,2
0.22,2,1
0.32,2,1
0.31,2,1
0.35,2,1
0.25,2,1
0.27,2,1
0.3,2,2
0.22,2,1
0.26,2,1
0.65,1,2
0.31,2,1
0.24,1,1
0.31,1,1
0.26,2,1
0.2,2,1
0.27,2,1
0.23,1,1
0.57,1,2
0.67,1,2
0.34,1,1
0.55,1,2
0.37,1,2
0.57,2,1
0.46,1,2
0.61,1,2
0.67,1,2
0.74,1,2
0.53,1,2
0.78,1,2
0.38,2,2
0.84,1,2
0.66,1,2
0.64,1,2
0.65,1,2
0.56,1,2
0.66,1,2
0.57,2,2
0.5,2,1
0.59,1,2
0.45,1,2
0.64,1,1
0.75,1,2
0.69,1,2
0.68,1,2
0.78,1,2
0.83,1,2
0.79,1,2
0.76,1,2
0.7,1,2
0.61,1,2
0.74,1,2
0.7,1,2
0.23,2,1
0.3,2,1
0.61,2,2
0.15,2,1
0.26,1,2
0.73,2,2
0.54,1,2
0.53,1,2
0.6,2,2
0.2,2,1
0.58,1,2
0.7,2,2
0.5,1,2
0.43,1,2
0.58,1,2
0.61,2,1
0.44,1,2
0.48,2,1
0.3,1,1
0.3,2,1
0.22,2,1
0.9,1,2
0.53,1,2
0.36,2,1
0.24,1,1
0.65,1,2
0.61,1,2
0.69,1,2
0.44,1,2
0.67,1,2
0.3,2,1
0.49,1,1
0.86,1,1
0.79,1,2
0.41,1,1
0.54,1,2
0.34,1,2
0.36,1,2
0.42,1,2
0.38,1,1
0.65,1,2
0.46,1,2
0.53,1,1
0.54,1,2
0.58,1,2
0.53,1,1
0.44,2,1
0.62,1,2
0.34,2,1
0.39,1,1
0.32,1,1
0.46,1,2
0.76,2,2
0.19,2,1
0.8,1,2
0.48,2,1
0.39,1,2
0.66,1,2
0.43,1,2
0.39,1,1
0.67,1,2
0.59,1,2
0.46,2,1
0.6,1,1
0.9,2,1
0.62,1,1
0.71,1,1
0.81,1,2
0.66,2,2
0.3,1,1
0.77,1,2
0.31,1,2
0.75,2,1
0.66,1,1
0.67,1,2
0.57,2,2
0.27,2,2
0.26,2,2
0.57,2,2
0.38,1,2
0.31,1,2
0.35,2,1
0.38,2,1
0.32,2,1
0.61,2,1
0.63,2,1
0.31,1,2
0.9,2,2
0.26,1,2
0.57,2,1
