AcceptanceRate,PPS,ClassSize
0,2,1
0,2,2
0.033625731,1,2
0,2,2
0,2,1
0,2,1
0.00390625,2,1
0.001464129,2,1
0.052479815,1,2
0.037533512,1,2
0.046737213,1,2
0.166666667,1,2
0.022959184,1,2
0.016055046,2,1
0.057634731,1,2
0,1,2
0,1,1
0.18134715,1,2
0.028145695,2,2
0.026602177,1,2
0.007067138,1,2
0.203971119,1,2
0,2,1
0.018552876,1,2
0.016260163,1,2
0,1,1
0.02,1,1
0.003412969,1,2
0.007092199,2,1
0,1,1
0.020779221,2,2
0.176056338,1,2
0,2,1
0,2,1
0,1,2
0.003669725,2,2
0,2,1
0.059574468,1,2
0.0475,1,2
0,1,1
0,2,2
0,2,1
0,2,1
0.001328021,1,2
0.108007449,1,2
0,2,1
0.004926108,2,1
0.022292994,2,1
0,2,1
0.035087719,1,2
0,2,2
0.045996593,1,2
0,2,1
0.001222494,1,2
0,2,1
0,2,1
0,1,2
0.002758621,1,2
0.002114165,2,1
0,1,2
0,2,2
0,2,1
0,2,2
0,1,1
0.005208333,2,1
0,2,1
0,1,2
0,2,1
0.002298851,2,1
0,2,2
0.001193317,2,2
0.00591716,2,1
0,2,1
0.032763533,1,2
0,1,1
0,2,1
0,1,1
0,2,2
0,2,2
0.003773585,2,1
0.002503129,1,2
0.00477327,2,2
0,2,1
0.006849315,2,1
0.016100179,1,2
0,1,2
0,1,2
0.004784689,2,1
0.003225806,2,1
0.002506266,2,2
0,2,1
0.001422475,1,1
0,1,2
0,2,2
0.001751313,1,2
0,2,2
0,2,2
0,2,2
0,1,2
0,2,1
0,1,2
0.001461988,1,2
0,2,1
0,2,1
0,2,1
0.006666667,2,2
0,1,1
0,1,1
0.001215067,1,2
0.013307985,1,2
0,2,1
0.005571031,2,1
0.002173913,2,2
0,1,1
0,2,2
0,2,2
0.003861004,2,1
0.002915452,2,1
0.005714286,2,1
0.004166667,2,1
0,2,1
0,2,1
0.002597403,2,1
0.003021148,2,1
0.005952381,2,2
0,2,1
0.002252252,2,1
0,2,1
0.005509642,1,2
0.006309148,1,1
0.001982161,1,2
0,2,1
0,2,1
0,1,1
0.004098361,1,1
0,1,1
0.003012048,2,1
0,2,1
0.00456621,2,1
0,1,1
0.003154574,1,1
0.001362398,2,1
0,2,1
0.003875969,2,1
0,2,1
0.002518892,2,2
0,1,1
0.004474273,1,1
0,1,1
0.004301075,1,2
0,2,1
0.004166667,1,2
0.001865672,1,2
0,2,1
0.002816901,1,1
0.002894356,2,1
0.001552795,1,2
0.024701874,1,1
0.009914078,1,2
0,2,1
0,1,2
0.007462687,2,2
0.001647446,1,1
0.002673797,1,2
0,2,1
0.001831502,1,2
0.002283105,1,2
0.003717472,2,1
0,2,2
0.004889976,2,2
0,1,2
0.003590664,2,2
0.001994018,1,2
0.001855288,2,1
0.001886792,2,1
0.004347826,2,2
0,2,1
0.001956947,1,2
0.007656066,1,2
0.00129199,1,2
0.011166253,1,2
0.004065041,2,1
0,1,1
0.002066116,2,2
0.009060023,1,2
0.006033183,1,2
0.001760563,2,1
0.005063291,1,2
0.002949853,2,1
0.005,2,1
0.003745318,2,2
0.00619195,2,1
0.003144654,1,2
0.006024096,2,1
0.003333333,2,1
